Year,Term,Applications,Admitted,Enrolled,Retention Rate (%),Student Satisfaction (%),Engineering Enrolled,Business Enrolled,Arts Enrolled,Science Enrolled
2017,Fall,2500,1500,600,85,78,200,150,125,125
2017,Spring,2400,1450,580,85,78,200,150,125,125
2018,Fall,2600,1550,620,86,79,210,160,130,125
2018,Spring,2550,1520,610,86,79,210,160,130,125
2019,Fall,2700,1600,650,87,80,225,165,135,125
2019,Spring,2650,1580,640,87,80,225,165,135,125
2020,Fall,2800,1700,700,88,82,250,170,150,130
2020,Spring,2750,1680,690,88,82,250,170,150,130
2021,Fall,2900,1750,720,89,84,270,190,155,120
2021,Spring,2850,1720,710,89,84,270,190,155,120
2022,Fall,3000,1800,750,90,85,280,200,160,110
2022,Spring,2950,1780,740,90,85,280,200,160,110
2023,Fall,3100,1900,800,90,86,290,210,170,105
2023,Spring,3050,1850,790,90,86,290,210,170,105
2024,Fall,3200,1950,820,91,87,300,220,175,100
2024,Spring,3150,1920,810,91,87,300,220,175,100
2025,Fall,3300,2000,850,90,88,310,230,180,100
2025,Spring,3250,1980,840,90,88,310,230,180,100
2026,Fall,3400,2050,880,89,88,320,240,185,98
2026,Spring,3350,2020,870,89,88,320,240,185,98
